http_code;content_type;url;local_file
200;audio/wav;https://imchloekang.com/audio/sfx/Marshie/Marshies_Step1.wav;C:\Users\david\Downloads\sweetland-portfolio_live\public\audio\sfx\Marshie\Marshies_Step1.wav
200;audio/wav;https://imchloekang.com/audio/sfx/Marshie/Marshies_Step2.wav;C:\Users\david\Downloads\sweetland-portfolio_live\public\audio\sfx\Marshie\Marshies_Step2.wav
200;audio/wav;https://imchloekang.com/audio/sfx/Marshie/Marshies_Step3.wav;C:\Users\david\Downloads\sweetland-portfolio_live\public\audio\sfx\Marshie\Marshies_Step3.wav
200;audio/wav;https://imchloekang.com/audio/sfx/Marshie/Marshies_Step4.wav;C:\Users\david\Downloads\sweetland-portfolio_live\public\audio\sfx\Marshie\Marshies_Step4.wav
200;audio/wav;https://imchloekang.com/audio/sfx/music/music.wav;C:\Users\david\Downloads\sweetland-portfolio_live\public\audio\sfx\music\music.wav
200;audio/wav;https://imchloekang.com/audio/sfx/PickUpItems/Coin.wav;C:\Users\david\Downloads\sweetland-portfolio_live\public\audio\sfx\PickUpItems\Coin.wav
200;audio/wav;https://imchloekang.com/audio/sfx/PickUpItems/Pick_up.wav;C:\Users\david\Downloads\sweetland-portfolio_live\public\audio\sfx\PickUpItems\Pick_up.wav
200;audio/wav;https://imchloekang.com/audio/sfx/SweetBloom/Sweetbloom_idle_loop.wav;C:\Users\david\Downloads\sweetland-portfolio_live\public\audio\sfx\SweetBloom\Sweetbloom_idle_loop.wav
200;audio/wav;https://imchloekang.com/audio/sfx/Teleport/Portal_in.wav;C:\Users\david\Downloads\sweetland-portfolio_live\public\audio\sfx\Teleport\Portal_in.wav
200;audio/wav;https://imchloekang.com/audio/sfx/Teleport/Portal_out.wav;C:\Users\david\Downloads\sweetland-portfolio_live\public\audio\sfx\Teleport\Portal_out.wav
